date | value
2011-01-04 | 3
2011-01-03 |3
2011-01-03| 3
    2010-11-03 | 1
2004-01-03 | 1
2011-00-03 | 1
2011-13-03 | 1
2011-02-29 | 1
2012-02-29 | 1
2012-02-30 | 1
2012-12-31 | 1
201-12-31 | 1
2012-1-31 | 1
2012-11-3 | 1
2024-11-03 | 1
201a-11-03 | 1
2012-q1-03 | 1
2012-11-0w | 1
2012-11-13 | -1
2012-11-13 | 0.000021
2012-11-13 | 42.42
2012-11-13 | 42,42
2012-11-13 | 42.42.42
2012-11-13 | 1000
2012-11-13 | 1001
2012-11-13 | 214748364834327568726358733974832798473379274837872483782472
2012-11-13 | 5a32
2009-01-01 | 100
